"Design","Time","K","m","Effect","ICC","CAC","Power"
0,4,20,20,0.1,0.01,0.5,0.7615
1,4,20,20,0.1,0.01,0.5,0.758
0,6,20,20,0.1,0.01,0.5,0.9125
1,6,20,20,0.1,0.01,0.5,0.9135
0,8,20,20,0.1,0.01,0.5,0.969
1,8,20,20,0.1,0.01,0.5,0.9655
0,4,20,20,0.1,0.05,0.5,0.6525
1,4,20,20,0.1,0.05,0.5,0.6465
0,6,20,20,0.1,0.05,0.5,0.805
1,6,20,20,0.1,0.05,0.5,0.81
0,8,20,20,0.1,0.05,0.5,0.9245
1,8,20,20,0.1,0.05,0.5,0.896
0,4,20,20,0.1,0.1,0.5,0.5275
1,4,20,20,0.1,0.1,0.5,0.538
0,6,20,20,0.1,0.1,0.5,0.723
1,6,20,20,0.1,0.1,0.5,0.695
0,8,20,20,0.1,0.1,0.5,0.8315
1,8,20,20,0.1,0.1,0.5,0.8245
0,4,20,20,0.1,0.01,0.8,0.791
1,4,20,20,0.1,0.01,0.8,0.7705
0,6,20,20,0.1,0.01,0.8,0.9245
1,6,20,20,0.1,0.01,0.8,0.9215
0,8,20,20,0.1,0.01,0.8,0.977
1,8,20,20,0.1,0.01,0.8,0.974
0,4,20,20,0.1,0.05,0.8,0.7595
1,4,20,20,0.1,0.05,0.8,0.757
0,6,20,20,0.1,0.05,0.8,0.883
1,6,20,20,0.1,0.05,0.8,0.8875
0,8,20,20,0.1,0.05,0.8,0.9575
1,8,20,20,0.1,0.05,0.8,0.958
0,4,20,20,0.1,0.1,0.8,0.701
1,4,20,20,0.1,0.1,0.8,0.711
0,6,20,20,0.1,0.1,0.8,0.863
1,6,20,20,0.1,0.1,0.8,0.86
0,8,20,20,0.1,0.1,0.8,0.94
1,8,20,20,0.1,0.1,0.8,0.9415
0,4,20,20,0.1,0.01,0.95,0.7975
1,4,20,20,0.1,0.01,0.95,0.8035
0,6,20,20,0.1,0.01,0.95,0.919
1,6,20,20,0.1,0.01,0.95,0.9345
0,8,20,20,0.1,0.01,0.95,0.981
1,8,20,20,0.1,0.01,0.95,0.975
0,4,20,20,0.1,0.05,0.95,0.8105
1,4,20,20,0.1,0.05,0.95,0.79
0,6,20,20,0.1,0.05,0.95,0.933
1,6,20,20,0.1,0.05,0.95,0.921
0,8,20,20,0.1,0.05,0.95,0.983
1,8,20,20,0.1,0.05,0.95,0.982
0,4,20,20,0.1,0.1,0.95,0.7925
1,4,20,20,0.1,0.1,0.95,0.8125
0,6,20,20,0.1,0.1,0.95,0.941
1,6,20,20,0.1,0.1,0.95,0.9325
0,8,20,20,0.1,0.1,0.95,0.979
1,8,20,20,0.1,0.1,0.95,0.978
0,4,20,20,0.1,0.01,1,0.7975
1,4,20,20,0.1,0.01,1,0.793
0,6,20,20,0.1,0.01,1,0.9405
1,6,20,20,0.1,0.01,1,0.945
0,8,20,20,0.1,0.01,1,0.983
1,8,20,20,0.1,0.01,1,0.9755
0,4,20,20,0.1,0.05,1,0.8255
1,4,20,20,0.1,0.05,1,0.832
0,6,20,20,0.1,0.05,1,0.9475
1,6,20,20,0.1,0.05,1,0.951
0,8,20,20,0.1,0.05,1,0.98
1,8,20,20,0.1,0.05,1,0.981
0,4,20,20,0.1,0.1,1,0.8565
1,4,20,20,0.1,0.1,1,0.8405
0,6,20,20,0.1,0.1,1,0.952
1,6,20,20,0.1,0.1,1,0.9605
0,8,20,20,0.1,0.1,1,0.9915
1,8,20,20,0.1,0.1,1,0.9895
